Basler_acA2040-55uc
Tracking height (px): 500 | Tracking width (px): 500
File creation timestamp:  2017-11-28 15:24:4
frame,cam_timestamp,green_x,green_y,red_x,red_y
410,95608386885429,199.25,258.125,219.5,228.5
411,95608403330076,201.5,256.5,222,226.5
412,95608419246144,204.5,256,224.5,225
413,95608449748773,209,252.5,229.333,221.333
414,95608465326882,212.182,250.455,232.5,219
415,95608481953968,218,247,235.5,217.5
416,95608497509559,220,246,239,214.5
417,95608527711813,223.111,242.556,243,212
418,95608543376376,226.5,240.625,247.2,209.2
419,95608559137572,232.25,236.333,252,205.667
420,95608575939780,236.636,232.727,256.5,202.5
421,95608590317793,240.889,228.778,261.6,198.8
422,95608606372587,245.846,225,266.25,195
423,95608638535473,251,220.4,271,191.5
424,95608653234111,256.444,216.222,276,187.5
425,95608668381327,261,212.4,280.75,184
426,95608683842337,266.556,208.556,286,180
427,95608700484894,271.125,204.625,291,176
428,95608716146109,278,201.5,296.2,172.2
429,95608730998566,281.412,198.588,301,168.5
430,95608746680652,286.8,195.2,305.75,165
431,95608778249133,290.538,192.308,310,162
432,95608794001284,295.833,188.833,314.5,158.5
433,95608809759375,300.067,186.333,319.2,155.2
434,95608825473861,304.923,183.615,323.2,152.2
435,95608839888729,311.143,180.429,327.2,149.2
436,95608855744371,314.385,178.538,331.2,146.2
437,95608872109179,320,176,335,143.5
438,95608886975244,322.538,172.385,338.667,140.667
439,95608919676456,326.5,170.5,342,138
440,95608951116903,334.333,167.333,348,133.333
441,95608966748985,338.3,165.2,350.5,131.5
442,95608980887319,342.231,163.385,353.5,129.5
443,95608996501689,344.867,162.4,355.5,128
444,95609012897655,348.714,161.143,357.667,126.667
445,95609043340749,351,160.545,360.333,125.333
446,95609059442955,356,159.5,362.333,124.333
447,95609074750038,356.4,159,364,123.5
448,95609090356200,359.667,158.333,365.5,122.5
449,95609106110160,364,157.5,367.5,121.5
450,95609122373637,366,158,369.333,120.667
451,95609138373648,367.5,156.5,370.667,120.333
452,95609153241306,370.286,156,372.5,119.5
453,95609185047117,374,155.5,374.333,118.667
454,95609200047183,374.5,154.714,375.667,118.333
455,95609215988199,378,153.5,377.5,117.5
456,95609230582671,379.667,153.667,379.5,116.5
457,95609247302448,380.5,152.25,381,115.5
458,95609262037320,381,151.5,382.5,115
459,95609293631802,383.909,150.364,383.667,114.333
460,95609309411493,0,0,385,113.5
461,95609324945430,385.867,148.533,386.333,113.333
462,95609341628001,386.294,148.118,387,112.5
463,95609357292969,386.929,148.286,387.5,112.5
464,95609371846158,387.5,148.5,388,112.5
465,95609387525733,388.273,148.636,388.333,112.667
466,95609403264087,390,149.5,388.333,113.333
467,95609418313968,390,149,388.333,113.667
468,95609450241036,387.857,151,387.5,114.5
469,95609465170065,387,152.2,387,115.5
470,95609481592815,386.714,153.143,386,116.5
471,95609497197195,385.5,154.5,384.5,118
472,95609512515942,384,158,383,119.5
473,95609528732574,384,158,381.5,121
474,95609543983632,380.714,159.143,379.667,122.667
475,95609574686871,378.4,160.7,378,124.5
476,95609590390530,376.333,162.667,375.667,126.667
477,95609606046129,370,165,373.4,128.8
478,95609622535596,369.769,166.538,370.5,131
479,95609637436950,367.167,169.5,367.667,133.667
480,95609653129701,365.5,171.5,364.5,136
481,95609683991889,362.6,174.7,362.333,138.333
482,95609700152604,360,177.5,359,141.5
483,95609715327792,355.333,180.667,355.5,144
484,95609731970403,354,182.5,352.2,147.2
485,95609747681109,348.667,186.667,348.5,150
486,95609763354879,344.818,188.545,345.667,153
487,95609778225048,341,193,342,156
488,95609794240449,338.571,194.143,338.8,158.8
489,95609824645554,334.182,198.455,335.667,161.667
490,95609855946195,328.2,202.8,329.5,167
491,95609872295424,324,205.909,326,169.333
492,95609888001135,320.167,208.333,323,171.5
493,95609918552823,316.429,210.5,320,174.167
494,95609934880992,312.364,212.545,316.667,176.667
495,95609950626528,308.6,214.6,314,178.5
496,95609965835520,305,216.6,311,180.5
497,95609981049912,301.5,218.5,307.667,183
498,95609997755757,297.5,219.5,304.333,185.333
499,95610012441543,294.231,222.231,301.5,187.5
500,95610028226526,290.333,224.133,298.667,189.667
501,95610044873673,285.667,226.667,295.333,192
502,95610059623422,283,228.714,292,194.5
503,95610090802725,278.7,231.2,288.667,196.667
504,95610107452437,274.583,234.167,285,199.5
505,95610122131392,270.5,236.5,282,201.333
506,95610138779619,266.857,238.571,278.2,204.2
507,95610169362168,262.769,240.769,275,206.5
508,95610200826348,255.4,244.6,268,211.5
509,95610216560949,251.875,247.125,265,213.5
510,95610231435141,250,249.5,261.5,215.5
511,95610247804053,246,251.5,258.2,218.2
512,95610263249268,242,254,254.5,220.5
513,95610278439225,238.5,256,251.8,222.4
514,95610293204526,236,257,248.333,224.333
515,95610309554511,231.5,260,245.333,226.333
516,95610340126206,228,260.5,242.5,228.5
517,95610356761932,224.385,262.462,240.5,229.5
518,95610372372846,221.5,264.5,238,231.5
519,95610387999528,220,266.5,235.333,233.333
520,95610403768905,216.375,266.75,233,234.5
521,95610419409627,214.231,268.231,230.667,235.667
522,95610435455349,214,269.5,229.333,236.667
523,95610450146238,210.636,270.364,227,238
524,95610481556472,208.333,270.889,226,238.5
525,95610497255325,208,272.5,224.667,239.667
526,95610512099871,205,271.5,223.5,239.5
527,95610527665371,206,271.5,223,239.5
528,95610543689331,203.5,270.5,222.25,240
529,95610559586823,203.5,272.5,221.5,239.5
530,95610575161557,202.333,270.5,221.5,239
531,95610591704997,202,272,221.5,239.5
532,95610621405834,201.778,269.111,221.333,238.333
533,95610637919655,201.909,268.364,0,0
534,95610668694606,201.833,267.5,221.5,237.5
535,95610684508290,201.909,266.364,221.5,236.5
536,95610700936683,204,266,222.333,235.333
537,95610716341263,202.615,264.385,222.667,234.667
538,95610730638465,204,263.5,223,233
539,95610747364155,203.8,262.8,224,232.5
540,95610762034389,203,262,224.667,231.667
541,95610777713910,205.667,260.556,225.5,230.5
542,95610793583052,205,260,226.333,229.333
543,95610809378943,207.909,258.364,227,228
544,95610825122346,209.5,258.5,228.667,226.667
545,95610841924473,210.75,256,0,0
546,95610873038760,212.385,254.615,231,223.5
547,95610888811404,214,255,232.333,222.333
548,95610918296646,217.5,250.5,235.667,219
549,95610934697634,219.667,248.556,237.5,217.5
550,95610950902305,222,247.25,239.5,215.5
551,95610982401531,223.5,244.5,240.5,214
552,95610997637928,228,243.5,243.333,211.333
553,95611013172729,228.7,242.2,245,209.5
554,95611027863888,231.5,240.5,247.667,207.667
555,95611044193137,234.5,238.5,250,205.333
556,95611059922014,237.333,236.667,252.333,203.333
557,95611074562224,240.385,234.462,255.2,201.2
558,95611091025987,244,232.3,258,198.5
559,95611122366129,246.556,230.556,260.667,196.667
560,95611153862628,256,225.5,267,191.667
561,95611185218808,261.5,220.5,273.333,186.333
562,95611200923304,264.5,218.6,277,183.667
563,95611216775355,270,216,280.5,180.5
564,95611247237349,272.714,212.643,283.5,178
565,95611262207175,276.611,209.944,287,175.5
566,95611277640699,279.714,206.857,290.333,172.333
567,95611294311849,283.667,203.333,293.8,169.8
568,95611308915933,287.667,200.667,297,167.5
569,95611325280525,291.111,198.556,300.667,164.667
570,95611340363832,294.3,197.1,303.75,162.25
571,95611355754750,298.889,194.444,306.667,159.667
572,95611388455098,302.333,192.667,310,157.5
573,95611403847852,305.667,190.333,313,155.5
574,95611419746559,308.444,188.222,316.333,153.333
575,95611449631050,312.118,186.529,319,151.5
576,95611465782018,315,184.125,322,149.5
577,95611481030457,318,182.538,324.5,147.5
578,95611497722883,320.75,180.25,327.5,145.5
579,95611512335229,324.333,179.667,329.5,144.5
580,95611528095831,328,178,332.333,142.333
581,95611544593074,332,177.5,334.5,141.5
582,95611560290685,333,178,336.667,139.667
583,95611574996262,336.071,174.571,339.5,138.5
584,95611590906552,338.75,173.167,341.5,137.5
585,95611606234020,340.818,172.364,343.667,135.667
586,95611637887848,342.75,171.083,345.667,134.667
587,95611654334655,344.75,170.375,347.5,133.5
588,95611669840944,346.625,169.125,349.667,132.667
589,95611699668546,350.571,167.857,353.5,131.5
590,95611716328140,352.615,166.385,355.333,130.333
591,95611731623613,355.667,165.333,356.667,129.667
592,95611763121111,358,166,358.333,129.333
593,95611778816184,357.909,164.636,359.667,128.667
594,95611793736492,359,164.5,361.333,128.333
595,95611809449979,360.2,163.7,362.5,127.5
596,95611825782792,361.714,163.143,363.667,127.333
597,95611841295318,361.2,163.6,364.667,127.333
598,95611856391369,361.5,162.5,366,126.5
599,95611871821761,363,161,366.667,126.667
600,95611887628263,362.75,163.25,367.5,126.5
601,95611919170500,363.857,162.714,368,126.5
602,95611934063241,364.313,162.188,368.667,126.667
603,95611950461475,364.462,162.385,369,127
604,95611965215895,364.333,162.667,369,128
605,95611980727395,363.75,162.917,369,127
606,95612013571005,362.6,163.7,369,128.5
607,95612028553872,362.75,163.75,368.5,129.5
608,95612043143727,361.375,164.75,368.333,130.333
609,95612059804671,361.333,166.667,367.333,131.667
610,95612075451279,359.818,167.727,367,132.5
611,95612091060033,358.7,168.7,365.5,133.5
612,95612105873340,357.5,170.5,364.5,135.5
613,95612122340964,354,172,363.5,136.5
614,95612153112972,353.571,173.857,362.333,138.333
615,95612169782664,352.235,175.647,360.5,140
616,95612183826282,350.643,176.929,359,141.5
